date_string,dividend,earnings,cpi,cape
1938-11-01,12.98688,14.687535126857142,14,16.14957180071551
1938-12-01,11.827337142857143,14.84214857142857,14,15.756484438994
1939-01-01,11.904632269714286,15.383260841142855,14,15.599634410919284
1939-02-01,12.068151670791364,16.03896030388489,13.9,15.664696928954767
1939-03-01,12.146002877697839,16.583965467625898,13.9,15.729223743214224
1939-04-01,12.312432737391303,17.096262914782606,13.8,13.9169945798124
1939-05-01,12.39087161043478,17.488363172173912,13.8,14.502929499657768
1939-06-01,12.469286956521737,17.880486956521736,13.8,14.833828921489777
1939-07-01,12.70455652173913,18.272610740869563,13.8,15.270952598570249
1939-08-01,12.939826086956522,18.66471099826087,13.8,15.12008234333398
1939-09-01,12.894774468085107,18.651370212765954,14.1,16.452835577060956
1939-10-01,13.450697142857141,19.48032,14,16.82120480626563
1939-11-01,13.914514285714285,20.176045714285713,14,16.599238509946634
1939-12-01,14.378331428571427,20.871771428571428,14,16.28041290128382
1940-01-01,14.559623868776976,21.722658992805755,13.9,16.378480342613656
1940-02-01,14.532944873142855,22.263222857142857,14,16.216119847731047
1940-03-01,14.61024,22.95894857142857,14,16.172906305307894
1940-04-01,14.764853444571427,23.345540159999995,14,16.370988707128774
1940-05-01,14.919443698285715,23.73189984,14,14.138747694800722
1940-06-01,14.967148936170213,23.94743829787234,14.1,12.843765598268803
1940-07-01,15.228670587428569,24.427625554285715,14,13.36988476321005
1940-08-01,15.383260841142855,24.736991588571424,14,13.649399392391631
1940-09-01,15.537874285714285,25.046125714285715,14,14.214842598620631
1940-10-01,15.537874285714285,24.814217142857142,14,14.328290323104953
1940-11-01,15.537874285714285,24.58230857142857,14,14.636689248763602
1940-12-01,15.42767659574468,24.177702127659575,14.1,13.908426122353832
1941-01-01,15.504423530212765,24.254379982978723,14.1,13.90415826795083
1941-02-01,15.58119349106383,24.331288102127658,14.1,13.002943303402446
1941-03-01,15.547673239436621,24.236078873239435,14.2,12.955719822063328
1941-04-01,15.514621802517478,24.29363916083916,14.3,12.429370389220782
1941-05-01,15.482051959999998,24.3504,14.4,12.037206512481577
1941-06-01,15.239706122448977,24.074318367346937,14.7,12.164306590628442
1941-07-01,15.31332052897959,24.810462432653058,14.7,12.744996277919576
1941-08-01,15.180420686174495,25.20391692885906,14.9,12.463173720387804
1941-09-01,15.051019867549668,25.586733774834435,15.1,12.279729272093077
1941-10-01,14.925002076862743,25.040062745098034,15.3,11.577814956574073
